#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 03 04 00 999 99.0 99.0  1.63 10.53  6.25  43 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 04 30 999 99.0 99.0  1.73  9.88  6.55  58 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 05 00 999 99.0 99.0  1.66  9.88  6.46  75 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 05 30 999 99.0 99.0  1.74  9.88  6.52  78 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 06 00 999 99.0 99.0  1.87  9.88  6.57  71 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 06 30 999 99.0 99.0  1.74 11.11  6.26   1 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 07 00 999 99.0 99.0  1.88  9.09  6.47  61 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 07 30 999 99.0 99.0  1.85  9.88  6.49  67 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 08 00 999 99.0 99.0  1.94 10.53  6.31  43 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 08 30 999 99.0 99.0  1.95  9.88  6.43  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 09 00 999 99.0 99.0  1.96  9.09  6.17  27 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 09 30 999 99.0 99.0  2.12  9.09  6.21  27 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 10 00 999 99.0 99.0  2.19  9.09  5.92  29 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 10 30 999 99.0 99.0  2.46  9.88  6.35  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 11 00 999 99.0 99.0  2.54  7.69  6.09 358 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 11 30 999 99.0 99.0  2.48  6.67  6.08   5 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 12 00 999 99.0 99.0  2.82  7.69  6.43 359 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 12 30 999 99.0 99.0  2.77  9.88  6.55  54 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 13 00 999 99.0 99.0  2.75  7.69  6.60  10 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 13 30 999 99.0 99.0  2.89  9.09  6.72  15 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 14 00 999 99.0 99.0  3.03  9.09  6.80   9 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 14 30 999 99.0 99.0  2.96  8.33  6.73   8 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 15 00 999 99.0 99.0  3.07  9.88  6.90  30 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 15 30 999 99.0 99.0  3.16  9.09  6.86   8 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 16 00 999 99.0 99.0  2.91  8.33  6.65  23 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 16 30 999 99.0 99.0  3.07  8.33  7.09  29 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 17 00 999 99.0 99.0  3.02  9.09  6.89  24 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 17 30 999 99.0 99.0  2.94  9.09  6.79  27 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 18 00 999 99.0 99.0  3.12  9.88  6.96  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 18 30 999 99.0 99.0  2.93  9.88  6.86  51 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 19 00 999 99.0 99.0  2.84  9.88  6.73  64 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 19 30 999 99.0 99.0  2.93  8.33  6.76  33 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 20 00 999 99.0 99.0  2.79  9.09  6.78  48 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 20 30 999 99.0 99.0  2.71  9.09  6.54  30 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 21 00 999 99.0 99.0  2.84  9.88  6.64  47 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 21 30 999 99.0 99.0  2.67  9.88  6.77  37 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 22 00 999 99.0 99.0  2.67  9.09  6.75  50 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 22 30 999 99.0 99.0  2.68  9.09  6.69  36 9999.0 999.0  25.3 999.0 99.0 99.00
